weeks,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
14,1963,0.761,0.525,11,-6.9,1,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,238805
14,1963,0.507,0.088,9,-23.309,1,0.0343,0.51,0,0.0984,0.398,144.226,206867
14,1963,,,,,,,,,,,,
14,1963,0.784,0.801,8,-5.157,1,0.0337,0.53,0,0.0862,0.969,104.769,193813
23,1964,0.614,0.93,11,-4.977,0,0.0648,0.00515,0.00297,0.264,0.508,159.262,278520
22,1964,0,0.405,0,-9.935,1,0,0.842,0.00114,0.198,0,0,147000
19,1964,0.53,0.593,5,-7.286,1,0.0545,0.385,0,0.314,0.538,125.723,158537
19,1964,0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,221747
17,1964,,,,,,,,,,,,
17,1964,0.473,0.756,2,-4.912,0,0.031,6.11E-05,1.32E-06,0.301,0.217,90.022,258707
17,1964,,,,,,,,,,,,
16,1964,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,278769
16,1964,,,,,,,,,,,,
16,1964,0.617,0.135,1,-22.104,0,0.0555,0.956,0.000304,0.0951,0.169,88.461,147684
16,1964,0.512,0.536,3,-4.787,1,0.0278,0.503,0,0.314,0.675,77.935,128280
16,1964,0.483,0.632,2,-5.624,1,0.0351,0.0419,0.000622,0.422,0.363,146.936,228125
16,1964,0.623,0.709,1,-9.818,0,0.0636,0.102,0,0.0967,0.948,122.394,165381
15,1964,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920
15,1964,,,,,,,,,,,,
15,1964,0.757,0.384,9,-10.976,0,0.0441,0.776,0,0.112,0.385,109.98,220499
15,1964,0.547,0.138,0,-17.572,0,0.0416,0.95,0.00934,0.0613,0.327,119.56,175630
15,1964,0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,213307
15,1964,0.377,0.916,4,-3.199,0,0.0481,0.26,0,0.074,0.912,75.533,140920
15,1964,0.366,0.391,3,-12.322,1,0.0425,0.854,0,0.352,0.461,119.182,164547
15,1964,0.619,0.603,9,-9.481,1,0.0342,0.712,0,0.0721,0.958,127.433,178933
15,1964,0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,233087
15,1964,,,,,,,,,,,,
15,1964,0.691,0.581,10,-7.85,1,0.065,0.557,4.62E-05,0.147,0.91,126.615,174440
15,1964,0.576,0.835,2,-6.826,1,0.0486,0.337,0,0.082,0.476,150.017,257720
15,1964,0.674,0.608,8,-6.628,0,0.0334,0.0119,0,0.103,0.464,124.952,253440
15,1964,0.622,0.692,7,-6.97,1,0.0276,0.363,0.000158,0.193,0.774,112.053,195467
14,1964,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307
14,1964,0.64,0.339,3,-8.08,1,0.0317,0.817,0,0.0883,0.664,124,151400
14,1964,0.52,0.849,1,-5.317,1,0.213,0.437,2.92E-06,0.926,0.752,132.66,137773
14,1964,0.674,0.608,8,-6.628,0,0.0334,0.0119,0,0.103,0.464,124.952,253440
14,1964,,,,,,,,,,,,
